dataset_name,lab_subject_id,eng_exposure,eng_ws_produced,fr_exposure,fr_ws_produced,eng_wg_understood,eng_wg_produced,eng_wsshort_produced,eng_ws_understood
byers-heinlein_2017,Subject_1,55,31,45,28,NA,NA,NA,NA
byers-heinlein_2017,Subject_2,74,129,26,333,NA,NA,NA,NA
byers-heinlein_2017,Subject_3,54.5,90,45.5,55,NA,NA,NA,NA
byers-heinlein_2017,Subject_4,50,206,50,210,NA,NA,NA,NA
byers-heinlein_2017,Subject_5,63.5,94,36.5,32,NA,NA,NA,NA
byers-heinlein_2017,Subject_6,73,NA,27,NA,NA,NA,NA,NA
byers-heinlein_2017,Subject_7,68.5,6,31.5,NA,NA,NA,NA,NA
byers-heinlein_2017,Subject_8,50,135,50,95,NA,NA,NA,NA
byers-heinlein_2017,Subject_9,60,44,40,35,NA,NA,NA,NA
byers-heinlein_2017,Subject_10,43.5,8,56.5,25,NA,NA,NA,NA
byers-heinlein_2017,Subject_11,62,46,38,22,NA,NA,NA,NA
byers-heinlein_2017,Subject_12,48,44,52,133,NA,NA,NA,NA
byers-heinlein_2017,Subject_13,42,4,58,2,NA,NA,NA,NA
byers-heinlein_2017,Subject_14,38,209,62,194,NA,NA,NA,NA
byers-heinlein_2017,Subject_15,32,26,68,282,NA,NA,NA,NA
byers-heinlein_2017,Subject_16,62,96,38,44,NA,NA,NA,NA
byers-heinlein_2017,Subject_17,56,75,43,14,NA,NA,NA,NA
byers-heinlein_2017,Subject_18,63,23,37,8,NA,NA,NA,NA
byers-heinlein_2017,Subject_19,69,43,31,16,NA,NA,NA,NA
byers-heinlein_2017,Subject_20,40,59,60,144,NA,NA,NA,NA
byers-heinlein_2017,Subject_21,47,30,53,108,NA,NA,NA,NA
byers-heinlein_2017,Subject_22,30.73,65,69.28,57,NA,NA,NA,NA
byers-heinlein_2017,Subject_23,67,72,33,20,NA,NA,NA,NA
byers-heinlein_2017,Subject_24,37,36,63,191,NA,NA,NA,NA
byers-heinlein_2017,Subject_49,50,45,50,51,NA,NA,NA,NA
byers-heinlein_2017,Subject_50,49,76,51,107,NA,NA,NA,NA
byers-heinlein_2017,Subject_51,27,12,59,49,NA,NA,NA,NA
byers-heinlein_2017,Subject_52,62,57,38,17,NA,NA,NA,NA
byers-heinlein_2017,Subject_53,48,51,52,248,NA,NA,NA,NA
byers-heinlein_2017,Subject_54,67,18,29,24,NA,NA,NA,NA
byers-heinlein_2017,Subject_55,70,33,30,18,NA,NA,NA,NA
byers-heinlein_2017,Subject_56,61,49,39,36,NA,NA,NA,NA
byers-heinlein_2017,Subject_57,31,55,69,114,NA,NA,NA,NA
byers-heinlein_2017,Subject_58,53,23,47,20,NA,NA,NA,NA
byers-heinlein_2017,Subject_59,62,234,38,89,NA,NA,NA,NA
byers-heinlein_2017,Subject_60,43,81,57,0,NA,NA,NA,NA
byers-heinlein_2017,Subject_61,63,168,37,138,NA,NA,NA,NA
byers-heinlein_2017,Subject_62,39,59,61,203,NA,NA,NA,NA
byers-heinlein_2017,Subject_63,27,20,74,112,NA,NA,NA,NA
byers-heinlein_2017,Subject_64,66,50,34,26,NA,NA,NA,NA
byers-heinlein_2017,Subject_65,32,14,68,48,NA,NA,NA,NA
byers-heinlein_2017,Subject_66,67,37,33,37,NA,NA,NA,NA
byers-heinlein_2017,Subject_67,64,36,36,51,NA,NA,NA,NA
byers-heinlein_2017,Subject_68,57,454,43,236,NA,NA,NA,NA
byers-heinlein_2017,Subject_69,73,237,27,85,NA,NA,NA,NA
byers-heinlein_2017,Subject_70,43,136,57,176,NA,NA,NA,NA
byers-heinlein_2017,Subject_71,66,188,34,0,NA,NA,NA,NA
byers-heinlein_2017,Subject_72,49,26,51,0,NA,NA,NA,NA
garrison_bergelson_2020,y31,NA,NA,NA,NA,289,25,NA,NA
garrison_bergelson_2020,y34,NA,NA,NA,NA,238,36,NA,NA
garrison_bergelson_2020,y36,NA,NA,NA,NA,335,89,NA,NA
garrison_bergelson_2020,y32,NA,NA,NA,NA,240,4,NA,NA
garrison_bergelson_2020,y33,NA,NA,NA,NA,98,20,NA,NA
garrison_bergelson_2020,y25,NA,NA,NA,NA,61,6,NA,NA
garrison_bergelson_2020,y26,NA,NA,NA,NA,129,0,NA,NA
garrison_bergelson_2020,y27,NA,NA,NA,NA,283,137,NA,NA
garrison_bergelson_2020,y23,NA,NA,NA,NA,244,105,NA,NA
garrison_bergelson_2020,y22,NA,NA,NA,NA,33,1,NA,NA
garrison_bergelson_2020,y40,NA,NA,NA,NA,107,8,NA,NA
garrison_bergelson_2020,y39,NA,NA,NA,NA,47,0,NA,NA
garrison_bergelson_2020,y41,NA,NA,NA,NA,93,17,NA,NA
garrison_bergelson_2020,y01,NA,NA,NA,NA,203,9,NA,NA
garrison_bergelson_2020,y03,NA,NA,NA,NA,194,43,NA,NA
garrison_bergelson_2020,y04,NA,NA,NA,NA,168,16,NA,NA
garrison_bergelson_2020,y05,NA,NA,NA,NA,62,14,NA,NA
garrison_bergelson_2020,y06,NA,NA,NA,NA,241,11,NA,NA
garrison_bergelson_2020,y08,NA,NA,NA,NA,7,1,NA,NA
garrison_bergelson_2020,y9,NA,NA,NA,NA,259,66,NA,NA
garrison_bergelson_2020,y11,NA,NA,NA,NA,189,37,NA,NA
garrison_bergelson_2020,y12,NA,NA,NA,NA,17,0,NA,NA
garrison_bergelson_2020,y13,NA,NA,NA,NA,183,1,NA,NA
garrison_bergelson_2020,y15,NA,NA,NA,NA,295,89,NA,NA
garrison_bergelson_2020,y16,NA,NA,NA,NA,33,5,NA,NA
garrison_bergelson_2020,y17,NA,NA,NA,NA,67,9,NA,NA
garrison_bergelson_2020,y18,NA,NA,NA,NA,121,4,NA,NA
garrison_bergelson_2020,y19,NA,NA,NA,NA,48,12,NA,NA
garrison_bergelson_2020,y20,NA,NA,NA,NA,59,0,NA,NA
garrison_bergelson_2020,y21,NA,NA,NA,NA,28,5,NA,NA
garrison_bergelson_2020,y24,NA,NA,NA,NA,125,2,NA,NA
garrison_bergelson_2020,y28,NA,NA,NA,NA,25,9,NA,NA
garrison_bergelson_2020,y42,NA,NA,NA,NA,0,0,NA,NA
garrison_bergelson_2020,y37,NA,NA,NA,NA,202,20,NA,NA
garrison_bergelson_2020,y29,NA,NA,NA,NA,88,0,NA,NA
garrison_bergelson_2020,y30,NA,NA,NA,NA,125,7,NA,NA
garrison_bergelson_2020,y35,NA,NA,NA,NA,140,3,NA,NA
mahr_coartic,1,NA,NA,NA,NA,NA,NA,81,NA
mahr_coartic,2,NA,NA,NA,NA,NA,NA,30,NA
mahr_coartic,3,NA,NA,NA,NA,NA,NA,34,NA
mahr_coartic,4,NA,NA,NA,NA,NA,NA,14,NA
mahr_coartic,5,NA,NA,NA,NA,NA,NA,71,NA
mahr_coartic,6,NA,NA,NA,NA,NA,NA,11,NA
